idea_label,parent_label,size,strength
flare,flare,2000,9
analytics,flare,23451,9
cluster,analytics,4523,3
graph,analytics,9098,6
optimization,analytics,7563,7
MergeEdge,cluster,643,3
CommunityStructure,cluster,3812,7
LinkDistance,graph,5731,3
ShortestPath,graph,5914,2
SpanningTree,graph,3416,8
AspectRatioBanker,optimization,7074,1
animate,flare,30123,8
Easing,animate,17010,6
FunctionSequence,animate,5842,8
interpolate,animate,10237,2
Interpolator,interpolate,8746,4
ColorInterpolator,interpolate,2047,1
data,flare,5762,6
DataSet,data,586,3
DataField,data,1759,6
converters,data,3589,9
JSONConverter,converters,2220,3
IDATAConverter,converters,1314,1
display,flare,14054,4
DirtySprite,display,8833,3
LineSprite,display,1732,5
RectSprite,display,3623,2
TextSprite,display,1006,1
